sample-id	Step1Conc	WellNo	i7Primer	i5Primer	OriginalName	TechRepNo	FirstNo	Experiment	Project	SampleType	ControlType	Inhibitor	Substrate	SedimentLocation	Condition	Timepoint	Date	SourceType	Split	TubeNo	SeqId	PercentContam
A1	0.688	A1	H701	H505	TMI2T3B	125	8	TM1-1	substrates	experiment	NA	NA	butyrate	NA	inoc 2	T3	4/17/23	filter	NA	NA	BoxA	0.018478738
A12	21.3	A8	H712	H506	TMPGT3A	157	1	TM1-1	substrates	control	positive	NA	Acetate	NA	(+) G20	T3	4/17/23	filter	NA	NA	BoxA	99.94938247
A13	0.432	A9	H720	H517	TMI2T1L	119	13	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 2	T1	NA	DNA filter	NA	NA	BoxA	0.133095603
A14	60	A10	H710	H505	TMI3T1M	132	9	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 3	T1	NA	DNA filter	NA	NA	BoxA	0
A15	32.3	A11	H711	H506	TMPGT4L	160	2	TM1-1	substrates	control	positive	NA	Lactate	NA	(+) G20	T4	4/17/23	filter	NA	NA	BoxA	99.91601015
A16	too high	A12	H714	H517	TMI3T2M	135	19	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 3	T2	NA	DNA filter	NA	NA	BoxA	0.015790839
A17	39.7	B1	H702	H517	TMI3T4M	140	15	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 3	T4	4/17/23	filter	NA	NA	BoxA	0.027961906
A18	0.053	B2	H703	H505	TMI2T3A	124	19	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 2	T3	4/17/23	filter	NA	NA	BoxA	13.06818182
A19	too high	B3	H701	H506	TMI2T2L	122	23	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 2	T2	NA	DNA filter	NA	NA	BoxA	0.039365033
A20	too high	B4	H707	H517	TMPGT2M	156	16	TM1-1	substrates	control	positive	NA	Malate	NA	(+) G20	T2	NA	DNA filter	NA	NA	BoxA	99.95019172
A21	0.157	B5	H723	H505	TMI1T3A	111	18	TM1-1	substrates	experiment	NA	NA	Acetate	NA	inoc 1	T3	4/17/23	filter	NA	NA	BoxA	0.188473366
A22	0.06	B6	H705	H506	TMI3T3P	137	3	TM1-1	substrates	experiment	NA	NA	pyruvate	NA	inoc 3	T3	4/17/23	filter	NA	NA	BoxA	25.71428571
A23	47.2	B7	H712	H517	K3ANMCT13	88	23	K0823	sediment inhibition	experiment	NA	no	NA	top	UA (-)M C	T13	NA	mud	NA	NA	BoxA	0.08778989
A24	0.059	B8	H720	H505	TMNGT2M	149	15	TM1-1	substrates	control	negative	NA	Malate	NA	(-) MQ	T2	NA	DNA filter	NA	NA	BoxA	10.97046414
A25	0.66	B9	H706	H506	TMPGTOM	162	30	TM1-1	substrates	control	positive	NA	Malate	NA	(+) G20	T0	8/10/21	filter	NA	NA	BoxA	99.90191553
A26	9.51	B10	H711	H517	TMPGT1M	154	6	TM1-1	substrates	control	positive	NA	Malate	NA	(+) G20	T1	NA	DNA filter	NA	NA	BoxA	99.89824965
A27	5.57	B11	H714	H505	TMI3T4L	139	11	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 3	T4	4/17/23	filter	NA	NA	BoxA	0
A28	46.1	B12	H710	H506	K3BMOBT0	91	1	K0823	sediment inhibition	experiment	NA	yes	NA	bottom	DB (+)M B	T0	NA	mud	NA	NA	BoxA	0.09819529
A29	45.7	C1	H703	H506	TM1-1	101	1	K0823	sediment inhibition	experiment	NA	NA	NA	source	TM1-1 MSR comm.	8/10/21	Glycerol stocks		NA	NA	BoxA	0.123377089
A3	40.3	A2	H702	H506	TMPGT4M	161	9	TM1-1	substrates	control	positive	NA	Malate	NA	(+) G20	T4	4/17/23	filter	NA	NA	BoxA	99.96046937
A31	too high	C2	H701	H517	TMI1T1M	107	7	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 1	T1	NA	DNA filter	NA	NA	BoxA	0.016542141
A32	12	C3	H702	H505	TMI1T4M	114	16	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 1	T4	4/17/23	filter	NA	NA	BoxA	0
A33	0.135	C4	H723	H506	TMI3T0M	129	35	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 3	T0	8/10/21	filter	NA	NA	BoxA	18.73182083
A34	0.148	C5	H705	H517	TMI2T0L	117	32	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 2	T0	8/10/21	filter	NA	NA	BoxA	0.780964002
A35	50	C6	H707	H505	K3ANMAT0	83	7	K0823	sediment inhibition	experiment	NA	no	NA	top	UA (-)M A	T0	NA	mud	NA	NA	BoxA	0
A36	0.363	C7	H720	H506	TMI3T3B	136	12	TM1-1	substrates	experiment	NA	NA	butyrate	NA	inoc 3	T3	4/17/23	filter	NA	NA	BoxA	0.289813368
A37	51	C8	H706	H517	K3ANMCT0	87	4	K0823	sediment inhibition	experiment	NA	no	NA	top	UA (-)M C	T0	NA	mud	NA	NA	BoxA	0
A38	too high	C9	H712	H505	TMI1T1L	106	12	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 1	T1	NA	DNA filter	NA	NA	BoxA	0
A39	0.12	C10	H714	H506	TMI1T0M	104	37	TM1-1	substrates	experiment	NA	NA	Malate	NA	inoc 1	T0	8/10/21	filter	NA	NA	BoxA	0.632555524
A4	33.5	A3	H703	H517	TMPGT3B	158	5	TM1-1	substrates	control	positive	NA	butyrate	NA	(+) G20	T3	4/17/23	filter	NA	NA	BoxA	99.97040306
A40	48.1	C11	H710	H517	K3AMOCT0	81	5	K0823	sediment inhibition	experiment	NA	yes	NA	top	UA (+)M C	T0	NA	mud	NA	NA	BoxA	0.022851339
A41	17.4	C12	H711	H505	TMI1T2L	109	22	TM1-1	substrates	experiment	NA	NA	Lactate	NA	inoc 1	T2	NA	DNA filter	NA	NA	BoxA	0
A42	57	D1	H705	H503	TMPGT1L	153	11	TM1-1	substrates	control	positive	NA	Lactate	NA	(+) G20	T1	NA	DNA filter	NA	NA	BoxA	100
A43	0.063	D2	H707	H503	TMNGT0A	141	34	TM1-1	substrates	control	negative	NA	Acetate	NA	(-) MQ	T0	8/10/21	filter	NA	NA	BoxA	91.26213592
A44	48.8	D3	H723	H503	K3BMOAT0	90	6	K0823	sediment inhibition	experiment	NA	yes	NA	bottom	DB (+)M A	T0	NA	mud	NA	NA	BoxA	0.010674295
